Year,Playlist Name,Track Name,Artist(s),Spotify URL
2011,Top Hits of 2011,Only Girl (In The World),Rihanna,https://open.spotify.com/track/1VDXQhu7YGdbM6UeEIfsaX
2012,Top Hits of 2012,Locked out of Heaven,Bruno Mars,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
2012,Top Hits of 2012,Call Me Maybe,Carly Rae Jepsen,https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx
2012,Top Hits of 2012,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD
2012,Top Hits of 2012,Diamonds,Rihanna,https://open.spotify.com/track/1z9kQ14XBSN0r2v6fx4IdG
2012,Top Hits of 2012,Everybody Talks,Neon Trees,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
2012,Top Hits of 2012,Starships,Nicki Minaj,https://open.spotify.com/track/1oHNvJVbFkexQc0BpQp7Y4
2012,Top Hits of 2012,Wild Ones (feat. Sia),"Flo Rida, Sia",https://open.spotify.com/track/1NpW5kyvO4XrNJ3rnfcNy3
2012,Top Hits of 2012,I Knew You Were Trouble.,Taylor Swift,https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E
2012,Top Hits of 2012,Die Young,Kesha,https://open.spotify.com/track/7EQGXaVSyEDsCWKmUcfpLk
2012,Top Hits of 2012,Part Of Me,Katy Perry,https://open.spotify.com/track/1nZzRJbFvCEct3uzu04ZoL
2012,Top Hits of 2012,I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq
2012,Top Hits of 2012,Domino,Jessie J,https://open.spotify.com/track/6MAdEUilV2p9RQUqE5bMAK
2012,Top Hits of 2012,We Found Love,"Rihanna, Calvin Harris",https://open.spotify.com/track/0U10zFw4GlBacOy9VDGfGL
